Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC,False Negatives,False Positives,TN,FP,FN,TP
XGBoost (no SMOTE),70.11,70.62,94.22,80.73,81.51,229,1552,447,1552,229,3731
XGBoost (with SMOTE),73.62,82.39,76.69,79.44,81.3,923,649,1350,649,923,3037
