Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC,False Negatives,False Positives,TN,FP,FN,TP
XGBoost (no SMOTE),98.74,99.27,97.3,98.27,99.87,30,8,1888,8,30,1082
XGBoost (with SMOTE),98.77,98.73,97.93,98.33,99.87,23,14,1882,14,23,1089
