Model,Best Params,Best CV F1
Random Forest,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}",78.84
XGBoost,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 200, 'subsample': 0.8}",77.43
